,gt_len,model_len,obstacle_hit
4bb28ded-b2e4-47e3-8c39-97bb8b12a7a6.pt,89.0,,
681c68d3-a118-4e17-b963-9020340f83ac.pt,99.0,,
effb8fb5-84f5-464e-924c-9e02cba858e0.pt,124.0,,
0f14b406-22dd-4f8d-b51f-d35448561d64.pt,85.0,,
c5a99bf3-0746-49d8-b885-243c962cd5b4.pt,74.0,,
ea91f2ae-738f-4045-a437-8923e8103716.pt,83.0,,
12a199c7-1000-4fbd-a7a2-d3851ff1e954.pt,91.0,,
907f4081-5829-4c9a-b881-e51936e3f0ea.pt,123.0,388.0,97.0
99763154-85d9-42c0-8fc2-50940d8ce610.pt,123.0,,
0077a18a-1b7e-4f10-89fe-cae9d73d30f8.pt,109.0,,
985de3d9-f3d5-445c-a24e-5385dbd15c6d.pt,96.0,,
69ca6e0d-c8b3-4d3d-b26e-f06d1df053fd.pt,147.0,,
b1b12eee-9d87-4102-893d-6fe987b3f932.pt,49.0,,
81aec391-3c17-4caa-99fc-400f0d444740.pt,108.0,383.0,99.0
9edf62fb-9500-44bb-a1d0-918e9080a7a9.pt,65.0,,
dc8e020d-6a18-43d6-99fb-3ec64ca36707.pt,58.0,,
830e1aa0-1d44-48b7-ad7c-1e769b92c21e.pt,91.0,,
cf29297d-e8ac-48bf-b343-11e91dd9b710.pt,101.0,294.0,111.0
cbd60fc0-5e79-464a-b6de-6be0725db0df.pt,131.0,,
496f9acf-0946-4cc0-9bc4-56e81acd6a06.pt,112.0,,
c1dcb89c-3598-4b6a-baa2-796eaf390fe9.pt,102.0,408.0,92.0
6b18360b-9eb4-48f2-a534-259a5069f7e2.pt,106.0,,
77a94cd6-f9e2-4a3e-9f1d-d87da5afebec.pt,82.0,462.0,14.0
d8b19278-3e40-41d4-a22b-a5690e94378c.pt,31.0,41.0,3.0
93255fe6-77dd-4154-a481-9d687fd2f1c3.pt,49.0,,
cbd68e0e-7150-40b7-ac74-7313c123d370.pt,44.0,,
68842d5e-cb6b-4d5b-8a1f-1a1418048d8b.pt,92.0,308.0,21.0
5a9e8f69-83d9-4b6c-a088-5c9ceae97de5.pt,87.0,,
b41b97b2-d167-4cdc-ac40-fcb506d91f23.pt,62.0,,
c1afc305-ef90-43c4-8c63-0e0c6be5a840.pt,61.0,,
7d7547c8-117c-4845-bbd3-90322a015c37.pt,114.0,,
c9614b64-4bdd-40e6-addd-bf83976fb426.pt,90.0,,
43597030-da33-4bcb-b215-bdd1e413e559.pt,95.0,202.0,52.0
f573fd62-ce57-4dbe-90c3-1d71cb533e32.pt,87.0,686.0,200.0
99976a55-08e4-40ba-8078-2faa84082613.pt,58.0,,
2e390cfc-b663-4915-8fc6-4501aa416271.pt,107.0,,
eb54f475-679a-4602-842a-aea7c36619db.pt,84.0,,
0e5a90d0-63e9-4f55-a041-a87dbcc42a46.pt,124.0,,
3b6f1482-af32-469f-b0bf-0d3f59f74e38.pt,72.0,,
df7818f0-0cb6-449d-af60-9a8216e71d09.pt,92.0,,
e4acf2b7-f5d8-4adc-a904-8c413ba13896.pt,87.0,,
edfe1d1d-49a9-4047-9c59-dc557fb4905f.pt,100.0,,
1dd0fba4-59dd-461e-bc18-3eedf337e796.pt,103.0,,
2ed4c632-61a8-4260-8c3f-1690fb4dbe6f.pt,39.0,,
d34aec17-7e0a-4085-8e7e-6c86b9bd5969.pt,108.0,340.0,107.0
c1f05a6b-025d-422e-ae89-e241c053d3f4.pt,97.0,,
4dbbd7cc-81e4-4840-8061-e3703c737fd4.pt,79.0,,
5d20c0c4-0ad3-4e6f-b31c-596914ed8ce9.pt,99.0,,
2940e0b0-86ae-440b-a4e5-197fef475cc5.pt,89.0,476.0,63.0
824489a7-6faf-4d1c-8521-c7de92d3ff17.pt,93.0,,
279f6d26-014d-4f72-8e8a-c0b496c5a9c7.pt,76.0,,
57975dbd-25b4-46f3-9fd5-eed1ed196e1a.pt,98.0,171.0,59.0
c427258b-2900-436b-8431-ac4746c41247.pt,109.0,240.0,40.0
d26b39d0-55b8-448f-91a9-5ca94b10fb5d.pt,63.0,,
37d5d30c-fcd3-43d8-9abe-83afcbdcd83d.pt,84.0,,
32df0b27-77db-41a6-b854-3f1264e52585.pt,92.0,220.0,75.0
0def5fed-804d-4a0a-a149-b46dda602398.pt,86.0,,
9a70d423-92e8-4449-8f12-59b5db78655c.pt,108.0,,
021e3677-6c57-486b-a7b0-904553d7ad86.pt,101.0,312.0,46.0
d2d37955-ba44-4526-8cc0-d2962d2f28a8.pt,95.0,,
ed0f3d3e-c7aa-4cb8-9e33-ff0166282a00.pt,117.0,432.0,76.0
4669aeab-e326-4ae0-8060-33d0f47d86e0.pt,158.0,217.0,56.0
cf14826b-7fa4-44ea-8830-5b142c55196d.pt,123.0,,
b9ee2617-770e-4dba-a8b3-81ff15b9b8b9.pt,105.0,,
9213661b-ff33-4990-afc0-c75999605891.pt,71.0,237.0,17.0
d4b6d38c-26ff-48b6-baaa-32704be553a6.pt,99.0,439.0,193.0
ad3bff3f-80d1-4fa3-9213-e6639e5f488d.pt,98.0,,
9a065642-b8b1-4f9f-b947-09187c696d1e.pt,49.0,,
9fa8edef-0b3f-499d-b480-e785076814c7.pt,39.0,691.0,155.0
dc565c31-a998-45f1-a2b5-62d5cd67836f.pt,67.0,,
e1807746-61f6-4cb7-a7a6-21013f36e065.pt,111.0,,
c95bfe7a-ff25-471f-90bb-3deddd3140e5.pt,70.0,,
cf8e6bf7-a9d2-4f64-8670-76e532895c0e.pt,91.0,,
